l1-mean,l1-stdv,n_rounds,num_leaves,min_data_in_leaf,learning_rate
0.06795437942659044,0.00024054389649709384,219,47,105,0.08292555391182097
0.06795241524655696,0.0002553747832999501,590,42,205,0.03418367333074712
0.0679396645733089,0.00028424134662495727,4100,77,521,0.003677185470584851
0.06792845768746233,0.00026503615639366024,4010,51,360,0.004813971137364492
0.06795300930313411,0.00028063781008100746,729,71,431,0.01931340035713382
0.06795006040624327,0.00028392239914030483,1225,63,569,0.013950518004633487
0.06794596075582324,0.00028271075034603035,4444,73,576,0.00349685346536564
0.06794976818476202,0.00025880420420990724,473,42,176,0.043969192567529555
0.06793913468933734,0.0002635255747348007,12000,37,185,0.0013207313492870996
0.06793839818085196,0.00028096715024859934,6509,68,499,0.0023626938951424566
0.06791581074545751,0.00026883431297893066,3089,48,163,0.006707461038429622
0.06790617115414738,0.00025887668914647183,10775,35,135,0.002373312748120685
0.06797721093650015,0.0002763116492348728,416,53,579,0.0543315409133845
0.06792839337379145,0.0002634710350206593,2104,70,216,0.007083939195894468
0.0679365086307129,0.0002802984916648555,4905,75,461,0.0027260869096907003
0.06798845920433232,0.00025546053224539565,150,64,195,0.08563505697216037
0.06793799412744894,0.00028271883083560214,6235,68,502,0.002547400824931624
0.06795607048079778,0.0002754677195795741,826,43,441,0.028280221951635858
0.06793968854577294,0.00027929763618585694,8360,61,498,0.0017644044304826855
0.06797321915981112,0.0002813915893394773,486,55,597,0.04026560427807317
0.06794236715919436,0.0002793628409790282,4908,51,567,0.003643642143482804
0.06796900446115835,0.00028365082726211047,732,30,561,0.0460733073792035
0.06793250955156355,0.00026679552665063755,717,57,256,0.020569211201439012
0.06792728261390608,0.0002704221384539499,1389,63,200,0.011863870704718445
0.0679965780637225,0.0002716636359267902,122,72,448,0.09628685239834898
0.06796814564975913,0.0002698387750324791,283,45,228,0.07460285167792123
0.06796990546340023,0.0002849410707820855,150,74,276,0.0898709357802495
0.0679389654229611,0.000271276515257592,6190,39,402,0.004042110629210381
0.06796129797608977,0.0002642309462879042,245,78,227,0.053809515627241206
0.06792687605130787,0.00026574538047916387,3119,51,244,0.006596419872624324
0.06791954930475166,0.0002723340128710685,12000,72,260,0.001034867055610833
0.06798365789118613,0.00026453250459149125,254,35,512,0.09524456137820561
0.06793284790923655,0.00028140279440987885,10130,79,417,0.0014020842941474356
0.06792674524282999,0.0002690775842388572,4577,78,323,0.002879644199565614
0.06796875497827903,0.0002818445658040935,276,77,414,0.04214194009863309
0.06790762005509507,0.00026287220371998943,10785,44,147,0.0018954113411400668
0.06794003263401878,0.00025897383250984965,2510,43,311,0.008078433022559275
0.06790969879846702,0.0002624477578022211,4661,54,167,0.004100167614180423
0.06795727427351858,0.0002789915071326399,672,72,516,0.02251138389753192
0.06794652522267439,0.0002597553885500797,286,57,168,0.04313789753589702
0.06792334284772064,0.00027203995232669755,294,79,161,0.040088322953093884
0.06794443154721262,0.0002834952540184389,1570,74,527,0.009559760523330543
0.06792348684386107,0.00027266180985738417,1805,79,222,0.007130894105377865
0.06794749336742141,0.0002822202560093679,904,73,453,0.01750845132514354
0.06793444309150418,0.0002780340455498204,11127,60,453,0.00145405752975717
0.06794284248010585,0.0002769164077223419,865,64,368,0.018240140054557256
0.0679583095110933,0.00027504933919372316,620,50,399,0.033506430700536244
0.06794107552823696,0.0002802423209077726,12000,51,534,0.0014282153415240213
0.06794091237741584,0.00027880612682113897,4225,48,553,0.0050089113191737564
0.06793422918108688,0.00026540382020989056,7383,35,233,0.003133955876833023
0.06793749303930437,0.0002802321773062814,4955,59,500,0.003238565258018265
0.0679085258275415,0.00027137671049986997,2235,76,168,0.006206987869176335
0.06794783020846744,0.0002762436823494914,4450,43,550,0.004521281662502636
0.06798252791949493,0.0002590048377036549,140,54,191,0.09810241105655208
0.06798727070452634,0.0002886236992607113,227,46,594,0.08446245439351538
0.06794303126751779,0.00026212778601692545,465,70,193,0.02983726855326194
0.06792945643247554,0.0002696958682760469,12000,69,306,0.0010537348190337893
