trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.3, 'e': 0.819140220812924}",20,13,-27.71551179943662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.3, 'e': 0.8179124315538594}",20,7,-70.85025973229736,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
135,False,"{'a': 0.3, 'e': 0.8166864825981108}",20,0,-46.44895477117873,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.3, 'e': 0.8154623711872927}",25,0,-259.65435546353046,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 6}",0
137,False,"{'a': 0.3, 'e': 0.8142400945671536}",25,0,-24.27235854053848,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.3, 'e': 0.813019649987571}",20,0,-97.41229288325893,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
139,False,"{'a': 0.3, 'e': 0.8118010347025437}",20,0,-69.27464281617112,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
140,False,"{'a': 0.3, 'e': 0.8105842459701871}",30,5,-78.00530436493312,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.8093692810527259}",20,6,-24.798776968017147,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.8081561372164884}",20,0,-21.473577380090557,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.3, 'e': 0.8069448117319006}",30,2,-70.90516199660027,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.8057353018734796}",30,0,-113.09165936558756,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.3, 'e': 0.8045276049198279}",20,12,0.9561136736856553,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.8033217181536265}",25,0,-138.5234360173252,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
